series,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024
Illinois Incidents,7,12,6,7,8,7,8,11,10,7,11,4,5,6,6,6,0,9,11,11,11,10,8,17,16,6,8,9,6,6,3,8,11,7,9,10,2,6,3,10,7,10,15,10,11,8,15,11,9,2,6,10,4,5,11,10,8,8,0,2,2,2,3,7,5,2,5,12,7,6,4,5,5,0,14,3,14,17,19,25,8,14,7,8,10,5,22,20,28,21,35,30,40,23,25,27,24,24,27,22,20,27,24,35,24,28,21,36,33,22,,,,,,,,,,,
Indiana Incidents,2,6,5,5,6,7,4,4,10,3,3,9,5,2,3,12,3,5,10,9,7,9,6,6,7,2,5,4,8,7,9,9,9,12,11,9,6,8,5,5,6,7,16,10,15,8,9,9,6,7,7,5,3,8,4,5,8,9,20,8,8,6,9,11,12,5,9,29,31,11,24,11,16,14,10,9,10,13,11,12,12,11,12,8,5,20,12,19,12,13,15,18,12,13,18,17,12,9,15,17,16,11,12,14,12,16,20,12,19,16,,,,,,,,,,,
Kansas Incidents,1,6,2,3,6,3,6,5,7,8,7,4,5,6,5,3,3,5,3,2,7,4,5,7,4,4,6,7,8,4,12,3,4,6,10,8,4,5,8,5,8,3,5,2,7,6,9,6,0,15,5,7,9,10,8,5,7,5,5,9,1,4,4,3,12,9,6,36,12,7,5,13,5,6,9,5,8,4,14,26,10,10,7,16,7,11,7,6,14,10,18,12,13,14,7,13,6,6,8,11,12,11,17,10,7,9,12,8,12,4,,,,,,,,,,,
Kentucky Incidents,11,12,12,9,13,23,16,18,17,15,17,16,21,11,16,18,18,17,10,13,27,18,18,24,16,19,30,27,27,40,30,31,30,31,34,30,44,26,22,13,16,14,17,20,19,28,22,24,13,26,22,16,13,14,9,10,12,5,13,12,10,11,4,11,8,6,8,40,20,22,20,15,8,7,11,6,9,13,10,13,8,12,15,13,10,15,6,6,7,8,12,17,6,8,8,16,14,9,11,12,13,11,12,16,11,10,8,11,14,14,,,,,,,,,,,
Louisiana Incidents,0,0,1,0,5,4,2,3,3,1,3,10,1,5,1,2,2,3,0,1,2,6,5,3,0,1,2,3,1,5,2,5,4,2,5,3,4,6,6,2,6,3,2,5,7,1,8,3,2,0,0,5,4,1,0,3,4,3,1,3,2,1,3,4,2,4,3,7,4,7,9,10,4,5,6,9,13,12,12,13,7,13,12,16,7,4,12,7,1,4,6,7,4,5,7,5,5,5,1,0,3,5,6,6,2,4,4,12,3,6,,,,,,,,,,,
Massachusetts Incidents,27,30,29,25,26,30,30,42,54,42,36,38,31,28,23,20,48,25,34,34,38,41,29,25,53,24,31,38,37,29,36,41,33,39,21,45,53,31,29,25,22,31,38,26,29,36,32,30,33,30,19,26,34,41,45,30,35,32,27,36,22,37,21,26,26,21,23,55,49,47,41,37,25,17,24,28,33,42,54,43,31,21,35,44,30,29,33,38,43,39,37,43,41,32,23,34,41,36,32,45,50,32,51,35,42,35,33,86,72,39,,,,,,,,,,,
Maryland Incidents,0,1,7,2,3,4,3,1,6,4,3,3,3,2,2,2,1,2,2,2,1,3,5,8,5,6,11,5,13,5,13,16,7,7,11,4,5,5,6,3,4,3,2,5,5,6,6,3,3,2,5,1,1,1,0,1,0,3,2,2,2,1,4,2,2,4,2,5,8,8,3,2,4,1,9,5,11,11,7,10,21,11,14,14,19,17,18,10,16,23,39,27,31,22,21,17,17,15,19,18,23,21,23,21,21,15,23,19,22,23,,,,,,,,,,,
Maine Incidents,2,2,0,2,3,3,4,6,5,3,2,0,8,2,1,1,5,4,3,2,3,7,5,4,5,1,5,0,7,5,4,1,3,2,2,1,1,1,2,2,2,5,0,2,1,1,2,2,1,0,0,1,2,2,1,2,2,2,1,2,2,2,2,1,3,3,3,15,10,15,11,14,4,2,9,1,6,8,6,5,11,8,7,2,5,7,4,3,8,4,10,12,2,6,7,10,6,9,0,1,3,6,7,8,6,6,8,3,2,3,,,,,,,,,,,
Michigan Incidents,19,17,22,13,15,28,31,26,35,35,22,26,27,29,18,22,22,26,37,34,41,32,52,28,54,40,28,37,31,30,37,34,44,61,51,39,37,26,36,27,31,32,43,41,30,47,38,48,36,30,15,13,31,38,37,44,46,40,40,44,33,27,25,21,22,15,27,60,55,53,41,50,31,32,31,18,38,44,44,31,44,34,36,34,25,30,18,18,19,26,52,46,35,33,44,43,20,33,28,19,29,21,39,40,29,21,29,37,45,28,,,,,,,,,,,
Minnesota Incidents,3,10,4,3,3,6,14,15,15,14,13,9,6,7,7,9,10,11,15,7,11,10,10,6,17,6,12,12,17,11,12,13,12,13,13,10,12,7,6,11,11,6,3,14,19,16,5,14,11,9,4,6,6,12,6,19,14,17,26,12,12,7,3,12,13,7,19,30,29,28,18,18,15,11,9,14,21,24,34,26,25,22,18,27,16,11,9,15,17,14,22,18,7,10,23,17,7,10,10,13,9,13,18,22,15,15,15,24,13,14,,,,,,,,,,,
